Цитата,Автор,Книга
Прошлое никогда не стирается. Старые раны всегда дают о себе знать в минуты слабости.,Хелен Тодд,Люфт
Не надо искать благородные причины для подлых поступков. Их не существует.,Микита Франко,Девочка в нулевой степени
"Воевать — это безумие. Даже если в тебя не попадет пушечное ядро и ты не потеряешь руку или ногу, ты останешься ни с чем: без денег, наград, тебе даже спасибо не скажут. Посмотри, как бывшие солдаты шатаются по округе, спившиеся и разорившиеся, им нечем гордиться, кроме всей этой болтовни о героизме.",Уинстон Грэхем,Танец мельника
"Всякую книгу следует читать дважды: в первый раз, когда ты моложе автора, и снова — когда становишься старше.",Макс Фрай,"Книга для таких, как я"
Всё встаёт на свои места с чашечкой хорошего кофе.,Мария Фариса,Джунгли внутри тебя
"Взяв на себя ответственность за свои поступки, мы перестаём быть жертвами обстоятельств.",Клаудия Хохбрунн,Герои книг на приеме у психотерапевта. Прогулки с врачом по страницам литературных произведений
"Ты не боишься, что тебя ранят. Знаешь: кто прячется от боли, тот прячется от самой жизни.",Андреа Боттлингер,Джунгли внутри тебя
"Оказывается, боль — это не самое страшное. Самое страшное, когда ты заперт с ней один на один.",Мария Фариса,Три секунды до
"Мелкие цветочки росли повсюду среди камней, никто их об этом не просил, так же как и меня.",Ладунка К,Бродяги Дхармы
"Время – хитрая штука. Оно не однородно. Бывают пустые дни, годы, даже десятилетия. Зацепиться не за что. Как вода без газа. А бывает год, или день, или даже полдня. И он для тебя – всё.",Джек Керуак,Как остановить время
"Безрадостно жить в браке, заключенном не по любви. Такая жизнь разъедает мужчине всю душу, и ничто его не радует: ни море коньяка, ни любовницы, ни безрассудные выходки.",Мэтт Хейг,Порочные лорды
Нет правильного или неправильного решения. Есть только выбор и его последствия.,Александра Хоукинз,Тонкая грань
"Каждый рассказывает историю своей жизни так, как ему удобно…",Кристина Дэвер,"Те, кто уходит и те, кто остается"
"Зачем мне бессмертие? Я даже не знаю, что мне делать завтра...",Элена Ферранте,Злая зима
Трудные времена создают сильных людей. Сильные люди создают хорошие времена. Хорошие времена создают слабых людей. И слабые люди создают трудные времена.,Ольга Ярошинская,"Те, кто остается"
"С тех пор, как ты навсегда уехала,
похолодало, и чай не сладок.",Майкл Хопф,В этой маленькой комнате все по-старому
"Существует предел напряжения, после которого нервы сдают и человек ведет себя вопреки приличиям и здравому смыслу.",Иосиф Александрович Бродский,Отпущение грехов
